index,surface,lemma,enlemma,clar,pos,gender,number,notes,extra,sort
1490,adfywhau,adfywhau,reanimate,,v,\N,\N,\N,\N,158utc1s
1503,adfywiad,adfywiad,revival,,n,m,sg,\N,\N,158utd15
1539,adfywio,adfywio,resuscitate,,v,\N,\N,\N,\N,158utdk
1595,adio,adio,add,(maths),v,\N,\N,\N,\N,15dk
1608,adlais,adlais,echo,,n,m,sg,\N,\N,15g1dp
1633,adlamu,adlamu,rebound,,v,\N,\N,\N,\N,15g1is
1674,adleisio,adleisio,resound,,v,\N,\N,\N,\N,15g7dpdk
1729,adleoli,adleoli,relocate,,v,\N,\N,\N,\N,15g7kgd
1773,adlewyrchiad,adlewyrchiad,reflection,,n,m,sg,\N,\N,15g7tun4d15
1813,adlewyrchu,adlewyrchu,reflect,,v,\N,\N,\N,\N,15g7tun4s
1850,adlifo,adlifo,reflux,,v,\N,\N,\N,\N,15gd8k
1883,adloniant,adloniant,entertainment,,n,m,sg,\N,\N,15gkjd1jq
1943,adnabod,adnabod,know,(someone),v,\N,\N,\N,\N,15j12k5
1952,nabod,adnabod,know,(someone),v,\N,\N,\N,\N,15j12k5
1988,adnabyddadwy,adnabyddadwy,identifiable,,adj,,,\N,\N,15j12u615tu
1989,adnabyddedig,adnabyddedig,recognised,(identified),adj,,,\N,\N,15j12u675da
1991,adnabyddiad,adnabyddiad,recognition,(instance),n,m,sg,\N,\N,15j12u6d15
1992,adnabyddiaeth,adnabyddiaeth,recognition,(concept),n,f,sg,\N,\N,15j12u6d17r
1993,adnabyddus,adnabyddus,familiar,,adj,,,\N,\N,15j12u6sp
1995,adnau,adnau,deposit,,n,m,sg,\N,\N,15j1s
2020,adneuo,adneuo,deposit,,v,\N,\N,\N,\N,15j7sk
2050,adnewyddadwy,adnewyddadwy,renewable,,adj,,,\N,\N,15j7tu615tu
2051,adnewyddiad,adnewyddiad,renewal,,n,m,sg,\N,\N,15j7tu6d15
2097,adnewyddu,adnewyddu,renew,,v,\N,\N,\N,\N,15j7tu6s
2105,adnewyddu,adnewyddu,refresh,,v,\N,\N,\N,\N,15j7tu6s
2108,adnod,adnod,verse,\N,n,f,sg,\N,\N,15jk5
2110,adnodd,adnodd,resource,,n,m,sg,\N,\N,15jk6
2150,adnoddu,adnoddu,resource,,v,\N,\N,\N,\N,15jk6s
2165,adolygiad,adolygiad,review,,n,m,sg,\N,\N,15kguad15
2166,adolygiadau,adolygiadau,reviews,,n,m,sg,\N,\N,15kguad151s
2167,adolygu,adolygu,review,,v,\N,\N,\N,\N,15kguas
2221,adran,adran,section,,n,f,sg,\N,\N,15n1j
2222,adrannau,adrannau,sections,,n,f,sg,\N,\N,15n1jj1s
2223,adrannol,adrannol,departmental,,adj,,,\N,\N,15n1jjkg
2224,adre,adre,home,,adv,,,\N,\N,15n7
2225,adref,adref,homewards,,adv,,,\N,\N,15n78
2226,adra,adref,homewards,,adv,,,\N,\N,15n78
2227,adrès,adrès,address,\N,n,m,sg,\N,\N,15n7p
2243,adroddwr,adrodd,narrator,\N,n,m,sg,\N,\N,15nk6
2258,adrodd,adrodd,recite,,v,\N,\N,\N,\N,15nk6
2284,adroddiad,adroddiad,report,,n,m,sg,\N,\N,15nk6d15
2286,adroddiad banc,adroddiad banc,bank statement,,n,m,sg,\N,\N,15nk6d15021j3
2324,aduno,aduno,reunite,,v,\N,\N,\N,\N,15sjk
2342,adwaith,adwaith,reaction,,n,m,sg,\N,\N,15t1dr
2344,adweinyddu,adweinyddu,re-administer,,v,\N,\N,\N,\N,15t7dju6s
2403,adweithio,adweithio,react,,v,\N,\N,\N,\N,15t7drdk
2449,adwerthu,adwerthu,retail,,v,\N,\N,\N,\N,15t7nrs
2450,adwy,adwy,pass,(in mountains),n,f,sg,\N,\N,15tu
2452,adwy NEU,adwy NEU,OR gate,,n,f,sg,\N,\N,15tu0j7s
2454,adwy NID,adwy NID,NOT gate,,n,f,sg,\N,\N,15tu0jd5
2472,adysgrifio,adysgrifio,transcribe,,v,\N,\N,\N,\N,15upand8dk
2507,addas,addas,appropriate,,adj,,,\N,\N,161p
2508,addasadwy,addasadwy,customisable,,adj,,,\N,\N,161p15tu
2509,addasedig,addasedig,custom,(adapted),adj,,,\N,\N,161p75da
2510,addasiad,addasiad,modification,,n,m,sg,\N,\N,161pd15
2511,addasiad,addasiad,adaptation,,n,m,sg,\N,\N,161pd15
2514,addasrwydd,addasrwydd,appropriateness,,n,m,sg,\N,\N,161pntu6
2565,addasu,addasu,adapt,,v,\N,\N,\N,\N,161ps
2568,addaswr,addaswr,adapter,"(of a book, concept)",n,m,sg,\N,\N,161ptn
2570,addasydd,addasydd,modifier,,n,m,sg,\N,\N,161pu6
2572,addasydd,addasydd,adapter,,n,m,sg,\N,\N,161pu6
2573,addawol,addawol,promising,,adj,,,\N,\N,161tkg
2591,addef,addef,admit,,v,\N,\N,\N,\N,1678
2630,addewid,addewid,promise,,n,f,sg,\N,\N,167td5
2639,addo,addo,promise,,v,\N,\N,\N,\N,16k
2674,gaddo,addo,promise,\N,v,\N,\N,\N,\N,16k
2684,addoliad,addoli,worship,\N,n,m,sg,\N,\N,16kgd
2728,addoli,addoli,worship,,v,\N,\N,\N,\N,16kgd
2739,adduned,adduned,resolution,(eg at New Year),n,f,sg,\N,\N,16sj75
2746,addunedu,addunedu,vow,,v,\N,\N,\N,\N,16sj75s
2794,addurn,addurn,ornament,,n,m,sg,\N,\N,16snj
2796,addurn,addurn,ornate,,adj,,,\N,\N,16snj
2798,addurniad,addurniad,decoration,,n,m,sg,\N,\N,16snjd15
2799,addurniadol,addurniadol,decorative,,adj,,,\N,\N,16snjd15kg
2815,addurno,addurno,decorate,,v,\N,\N,\N,\N,16snjk
2854,addysg,addysg,education,,n,f,sg,\N,\N,16upa
2855,addysgiadol,addysgiadol,instructive,,adj,,,\N,\N,16upad15kg
2856,addysgol,addysgol,educational,,adj,,,\N,\N,16upakg
2896,addysgu,addysgu,educate,,v,\N,\N,\N,\N,16upas
2912,addysgwr,addysgwr,educator,,n,m,sg,\N,\N,16upatn
2913,aeddfed,aeddfed,mature,,adj,,,\N,\N,176875
2914,aeddfedrwydd,aeddfedrwydd,maturity,,n,m,sg,\N,\N,176875ntu6
2916,aeddfedu,aeddfedu,mature,,v,\N,\N,\N,\N,176875s
2970,aelod,aelod,member,,n,m,sg,\N,\N,17gk5
2971,aelodaeth,aelodaeth,membership,,n,f,sg,\N,\N,17gk517r
2994,aelodi,aelodi,enrol,,v,\N,\N,\N,\N,17gk5d
3026,aelwyd,aelwyd,hearth,,n,f,sg,\N,\N,17gtu5
3028,aer,aer,air,,n,m,sg,\N,\N,17n
3030,afal,afal,apple,\N,n,m,sg,\N,\N,181g
3031,afiechyd,afiechyd,illness,,n,m,sg,\N,\N,18d74u5
3074,aflonyddu,aflonyddu,disturb,,v,\N,\N,\N,\N,18gkju6s
3087,afloyw,afloyw,opaque,,adj,,,\N,\N,18gkut
3089,aflunedd,aflunedd,distortion,(of image),n,m,sg,\N,\N,18gsj76
3090,afluniad,afluniad,distortion,(of image),n,m,sg,\N,\N,18gsjd15
3115,aflunio,aflunio,distort,(of image),v,\N,\N,\N,\N,18gsjdk
3118,aflunio,aflunio,distort,,v,\N,\N,\N,\N,18gsjdk
3144,aflwyddiannus,aflwyddiannus,unsuccessful,,adj,,,\N,\N,18gtu6d1jjsp
3178,aflwyddo,aflwyddo,fail,,v,\N,\N,\N,\N,18gtu6k
3199,aflym,aflym,obtuse,(geometry),adj,,,\N,\N,18gui
3200,afon,afon,river,,n,f,sg,\N,\N,18kj
3232,afradloni,afradloni,squander,,v,\N,\N,\N,\N,18n15gkjd
3260,afradu,afradu,spoil,,v,\N,\N,\N,\N,18n15s
3308,afraid,afraid,redundant,(in computer program),adj,,,\N,\N,18n1d5
3309,afrealistig,afrealistig,unrealistic,,adj,,,\N,\N,18n71gdpqda
3310,afreidrwydd,afreidrwydd,redundancy,(in computer program),n,m,sg,\N,\N,18n7d5ntu6
3311,afreolaidd,afreolaidd,irregular,,adj,,,\N,\N,18n7kg1d6
3312,afresymol,afresymol,irrational,,adj,,,\N,\N,18n7puikg
3317,afrwyddo,afrwyddo,obstruct,,v,\N,\N,\N,\N,18ntu6k
3392,affeithio,affeithio,affect,,v,\N,\N,\N,\N,197drdk
3418,Affrica,Affrica,Africa,,name,f,sg,place,\N,19nd31
3420,agen,agen,slot,,n,f,sg,\N,\N,1a7j
3422,agenda,agenda,agenda,,n,m,sg,\N,\N,1a7j51
3455,agennu,agennu,slit,,v,\N,\N,\N,\N,1a7jjs
3497,ageru,ageru,steam,,v,\N,\N,\N,\N,1a7ns
3531,ar_agor,agor,open,\N,adv,\N,\N,\N,\N,1akn
3559,agor,agor,open,,v,\N,\N,\N,\N,1akn
3587,agored,agored,open,,adj,,,\N,\N,1akn75
3588,agoredig,agoredig,opened,,adj,,,\N,\N,1akn75da
3590,agoriad,agoriad,key,,n,m,sg,\N,\N,1aknd15
3591,agoriadol,agoriadol,opening,,adj,,,\N,\N,1aknd15kg
3592,nesach,agos,near,\N,adj.comp,\N,\N,\N,\N,1akp
3593,nesaf,agos,next,\N,adj.sup,\N,\N,\N,\N,1akp
3594,agosa,agos,close,\N,adj.sup,\N,\N,spoken,\N,1akp
3595,agos,agos,near,,adj,,,\N,\N,1akp
3596,agosaf,agos,close,,adj.sup,,,\N,\N,1akp
3597,nes,agos,nearer,\N,adj.comp,\N,\N,\N,\N,1akp
3598,nesaf_at,agos,next_to,,prep,,,\N,\N,1akp
3599,agosach,agos,close,,adj.comp,,,\N,\N,1akp
3600,nesa,agos,next,\N,adj.sup,\N,\N,spoken,\N,1akp
3641,agosáu,agosáu,approach,,v,\N,\N,\N,\N,1akp1s
3652,agwedd,agwedd,aspect,,n,f,sg,\N,\N,1at76
3655,angau,angau,death,,n,mf,sg,\N,\N,1b1s
3656,angel,angel,angel,,n,m,sg,\N,\N,1b7g
3660,angen,angen,need,,n,m,sg,\N,\N,1b7j
3661,angenrheidiol,angenrheidiol,necessary,,adj,,,\N,\N,1b7jo7d5dkg
3662,angenrheidrwydd,angenrheidrwydd,necessity,,n,m,sg,\N,\N,1b7jo7d5ntu6
3663,angerdd,angerdd,intensity,(dedication),n,m,sg,\N,\N,1b7n6
3665,anghenraid,anghenraid,necessity,,n,m,sg,\N,\N,1bc7jn1d5
3666,anghenrhaid,anghenrhaid,requirement,,n,m,sg,\N,\N,1bc7jo1d5
3668,anghenus,anghenus,needy,,adj,,,\N,\N,1bc7jsp
3669,angheuol,angheuol,fatal,,adj,,,\N,\N,1bc7skg
3672,anghoelio,anghoelio,disbelieve,,v,\N,\N,\N,\N,1bck7gdk
3733,anghofio,anghofio,forget,,v,\N,\N,\N,\N,1bck8dk
3825,anghredu,anghredu,disbelieve,,v,\N,\N,\N,\N,1bcn75s
3826,anghydamseredig,anghydamseredig,asynchronous,,adj,,,\N,\N,1bcu51ip7n75da
3827,anghydbwysedd,anghydbwysedd,imbalance,,n,m,sg,\N,\N,1bcu52tup76
3829,anghydfod,anghydfod,discord,,n,m,sg,\N,\N,1bcu58k5
3830,anghydnaws,anghydnaws,incompatible,,adj,,,\N,\N,1bcu5j1tp
3831,anghydnawsedd,anghydnawsedd,incompatibility,,n,m,sg,\N,\N,1bcu5j1tp76
3833,anghydraddoldeb,anghydraddoldeb,inequality,,n,m,sg,\N,\N,1bcu5n16kg572
3864,anghydsynio,anghydsynio,dissent,,v,\N,\N,\N,\N,1bcu5pujdk
3886,anghydwedd,anghydwedd,inconsistent,,adj,,,\N,\N,1bcu5t76
3888,anghydweddiad,anghydweddiad,mismatch,,n,m,sg,\N,\N,1bcu5t76d15
3911,anghydweld,anghydweld,disagree,,v,\N,\N,\N,\N,1bcu5t7g5
3961,anghyfaddasu,anghyfaddasu,disqualify,,v,\N,\N,\N,\N,1bcu8161ps
3997,anghyfartal,anghyfartal,unequal,,adj,,,\N,\N,1bcu81nq1g
3998,anghyfarwydd,anghyfarwydd,unfamiliar,,adj,,,\N,\N,1bcu81ntu6
4000,anghyfiawnder,anghyfiawnder,injustice,,n,m,sg,\N,\N,1bcu8d1tj57n
4001,anghyflawn,anghyflawn,incomplete,,adj,,,\N,\N,1bcu8g1tj
4002,anghyfleus,anghyfleus,inconvenient,,adj,,,\N,\N,1bcu8g7sp
4003,anghyfleuster,anghyfleuster,inconvenience,,n,m,sg,\N,\N,1bcu8g7spq7n
4005,anghyfochrog,anghyfochrog,scalene,(triangle),adj,,,\N,\N,1bcu8k4nka
4006,anghyfrannol,anghyfrannol,non-proportional,,adj,,,\N,\N,1bcu8n1jjkg
4007,anghyfreithlon,anghyfreithlon,illegal,,adj,,,\N,\N,1bcu8n7drgkj
4008,anghyffredin,anghyffredin,uncommon,,adj,,,\N,\N,1bcu9n75dj
4009,anghymeradwyaeth,anghymeradwyaeth,disapproval,,n,f,sg,\N,\N,1bcui7n15tu17r
4016,anghymeradwyo,anghymeradwyo,disapprove,,v,\N,\N,\N,\N,1bcui7n15tuk
4064,anghymesur,anghymesur,asymmetric,,adj,,,\N,\N,1bcui7psn
4083,anghymhwyso,anghymhwyso,disqualify,,v,\N,\N,\N,\N,1bcuictupk
4116,anghynhwysol,anghynhwysol,exclusive,,adj,,,\N,\N,1bcujctupkg
4117,anghynhwysol,anghynhwysol,non-inclusive,,adj,,,\N,\N,1bcujctupkg
4118,anghynrychiadol,anghynrychiadol,non-representative,,adj,,,\N,\N,1bcujnu4d15kg
4119,anghynrychioliadol,anghynrychioliadol,non-representational,,adj,,,\N,\N,1bcujnu4dkgd15kg
4120,anghynwysoldeb,anghynwysoldeb,exclusivity,,n,m,sg,\N,\N,1bcujtupkg572
4121,anghyrhaeddol,anghyrhaeddol,unreachable,,adj,,,\N,\N,1bcuo176kg
4122,anghysbell,anghysbell,remote,,adj,,,\N,\N,1bcup27h
4123,anghyson,anghyson,inconsistent,,adj,,,\N,\N,1bcupkj
4125,anghysondeb,anghysondeb,conflict,(inconsistency),n,m,sg,\N,\N,1bcupkj572
4127,anghysonedd,anghysonedd,inconsistency,,n,m,sg,\N,\N,1bcupkj76
4145,anghysuro,anghysuro,discomfit,,v,\N,\N,\N,\N,1bcupsnk
4182,anghytbwys,anghytbwys,unbalanced,,adj,,,\N,\N,1bcuq2tup
4183,anghytûn,anghytûn,incompatible,,adj,,,\N,\N,1bcuqsj
4184,anghytundeb,anghytundeb,disagreement,,n,m,sg,\N,\N,1bcuqsj572
4210,anghytuno,anghytuno,disagree,,v,\N,\N,\N,\N,1bcuqsjk
4240,anghywir,anghywir,incorrect,,adj,,,\N,\N,1bcutdn
4241,angladd,angladd,funeral,,n,mf,sg,\N,\N,1bg16
4247,angori,angori,anchor,,v,\N,\N,\N,\N,1bknd
4297,ah,ah,ah,\N,im,\N,\N,\N,\N,1c
4298,aha,aha,aha,\N,im,\N,\N,\N,\N,1c1
4299,ai,ai,or,,conj,,,\N,\N,1d
4300,Aifft,Aifft,Egypt,,name,f,sg,place,\N,1d9q
4301,ail,ail,second,(2nd),ord,,,\N,\N,1dg
4303,ail isradd,ail isradd,square root,(maths),n,m,sg,\N,\N,1dg0dpn16
4324,ail-lansio,ail-lansio,relaunch,,v,\N,\N,\N,\N,1dg0g1jpdk
4388,ail-ledaenu,ail-ledaenu,recirculate,,v,\N,\N,\N,\N,1dg0g7517js
4425,ail-lunio,ail-lunio,redraw,,v,\N,\N,\N,\N,1dg0gsjdk
4501,ailadeiladu,ailadeiladu,rebuild,,v,\N,\N,\N,\N,1dg157dg15s
4554,ailadrodd,ailadrodd,repeat,,v,\N,\N,\N,\N,1dg15nk6
4569,ailadroddiad,ailadroddiad,repetition,,n,m,sg,\N,\N,1dg15nk6d15
4571,ailadroddydd,ailadroddydd,repeater,,n,m,sg,\N,\N,1dg15nk6u6
4593,ailaddurno,ailaddurno,redecorate,,v,\N,\N,\N,\N,1dg16snjk
4627,ailarchebu,ailarchebu,reorder,,v,\N,\N,\N,\N,1dg1n472s
4645,ailarfogi,ailarfogi,rearm,,v,\N,\N,\N,\N,1dg1n8kad
4683,ailargraffiad,ailargraffiad,reprint,,n,m,sg,\N,\N,1dg1nan19d15
4691,ailargraffu,ailargraffu,reprint,,v,\N,\N,\N,\N,1dg1nan19s
4744,ailasesu,ailasesu,reassess,,v,\N,\N,\N,\N,1dg1p7ps
4808,ailbacio,ailbacio,repack,,v,\N,\N,\N,\N,1dg213dk
4875,ailbeintio,ailbeintio,repaint,,v,\N,\N,\N,\N,1dg27djqdk
4936,ailbenodi,ailbenodi,reappoint,,v,\N,\N,\N,\N,1dg27jk5d
4953,ailblannu,ailblannu,replant,,v,\N,\N,\N,\N,1dg2g1jjs
5060,ailboblogi,ailboblogi,repopulate,,v,\N,\N,\N,\N,1dg2k2gkad
5075,ailbriodi,ailbriodi,remarry,,v,\N,\N,\N,\N,1dg2ndk5d
5163,ailbrofi,ailbrofi,reexperience,,v,\N,\N,\N,\N,1dg2nk8d
5212,ailbroffilio,ailbroffilio,reprofile,,v,\N,\N,\N,\N,1dg2nk9dgdk
5238,ailchwarae,ailchwarae,replay,,v,\N,\N,\N,\N,1dg4t1n17
5306,ailchwyddo,ailchwyddo,reinflate,,v,\N,\N,\N,\N,1dg4tu6k
5383,aildargedu,aildargedu,retarget,,v,\N,\N,\N,\N,1dg51na75s
5414,aildeipio,aildeipio,retype,,v,\N,\N,\N,\N,1dg57dldk
5489,aildrefnu,aildrefnu,rearrange,,v,\N,\N,\N,\N,1dg5n78js
5491,aildrosedd,aildrosedd,reoffence,,n,m,sg,\N,\N,1dg5nkp76
5514,aildroseddu,aildroseddu,reoffend,,v,\N,\N,\N,\N,1dg5nkp76s
5552,aildyfu,aildyfu,regrow,,v,\N,\N,\N,\N,1dg5u8s
5601,ailddangos,ailddangos,re-display,,v,\N,\N,\N,\N,1dg61bkp
5625,ailddarlledu,ailddarlledu,rebroadcast,,v,\N,\N,\N,\N,1dg61nh75s
5672,ailddarllen,ailddarllen,reread,,v,\N,\N,\N,\N,1dg61nh7j
5730,ailddatblygu,ailddatblygu,redevelop,,v,\N,\N,\N,\N,1dg61q2guas
5775,ailddatgan,ailddatgan,restate,,v,\N,\N,\N,\N,1dg61qa1j
5866,ailddatganu,ailddatganu,restate,,v,\N,\N,\N,\N,1dg61qa1js
5899,ailddechrau,ailddechrau,restart,,v,\N,\N,\N,\N,1dg674n1s
5969,ailddefnyddio,ailddefnyddio,reuse,,v,\N,\N,\N,\N,1dg678ju6dk
5981,aildderbyn,aildderbyn,reaccept,,v,\N,\N,\N,\N,1dg67n2uj
6034,ailddewis,ailddewis,reselect,,v,\N,\N,\N,\N,1dg67tdp
6098,ailddiffinio,ailddiffinio,redefine,,v,\N,\N,\N,\N,1dg6d9djdk
6140,ailddigwydd,ailddigwydd,re-occur,,v,\N,\N,\N,\N,1dg6datu6
6141,ailddirwyn,ailddirwyn,rewind,,v,\N,\N,\N,\N,1dg6dntuj
6160,ailddirwyn,ailddirwyn,rewind,,v,\N,\N,\N,\N,1dg6dntuj
6219,ailddiwygio,ailddiwygio,re-revise,,v,\N,\N,\N,\N,1dg6dtuadk
6259,ailddodrefnu,ailddodrefnu,refurnish,,v,\N,\N,\N,\N,1dg6k5n78js
6353,ailddosrannu,ailddosrannu,reanalyse,,v,\N,\N,\N,\N,1dg6kpn1jjs
6395,ailddrafftio,ailddrafftio,redraft,,v,\N,\N,\N,\N,1dg6n19qdk
6447,ailddweud,ailddweud,repeat,,v,\N,\N,\N,\N,1dg6t7s5
6506,ailddyblu,ailddyblu,redouble,,v,\N,\N,\N,\N,1dg6u2gs
6547,ailddyfeisio,ailddyfeisio,reinvent,,v,\N,\N,\N,\N,1dg6u87dpdk
6565,ailddylunio,ailddylunio,redesign,,v,\N,\N,\N,\N,1dg6ugsjdk
6566,ailddymunoli,ailddymunoli,re-nice,(reorder priority of computer processes),v,\N,\N,\N,\N,1dg6uisjkgd
6570,ailddysgu,ailddysgu,relearn,,v,\N,\N,\N,\N,1dg6upas
6673,ailedrych,ailedrych,look_again,,v,\N,\N,\N,\N,1dg75nu4
6678,aileni,aileni,regenerate,,v,\N,\N,\N,\N,1dg7jd
6714,ailennill,ailennill,re-win,,v,\N,\N,\N,\N,1dg7jjdh
6736,ailennyn,ailennyn,rekindle,,v,\N,\N,\N,\N,1dg7jjuj
6737,ailenwi,ailenwi,rename,,v,\N,\N,\N,\N,1dg7jtd
6765,ailfedyddio,ailfedyddio,rebaptise,,v,\N,\N,\N,\N,1dg875u6dk
6805,ailfeddiannu,ailfeddiannu,repossess,,v,\N,\N,\N,\N,1dg876d1jjs
6863,ailfeddwl,ailfeddwl,rethink,,v,\N,\N,\N,\N,1dg876tg
6900,ailfeintio,ailfeintio,resize,,v,\N,\N,\N,\N,1dg87djqdk
6945,ailflagura,ailflagura,re-sprout,,v,\N,\N,\N,\N,1dg8g1asn1
6955,ailfodelu,ailfodelu,remodel,,v,\N,\N,\N,\N,1dg8k57gs
6963,ailfreinio,ailfreinio,re-enfranchise,,v,\N,\N,\N,\N,1dg8n7djdk
7054,ailfuddsoddi,ailfuddsoddi,reinvest,,v,\N,\N,\N,\N,1dg8s6pk6d
7075,ailfwyta,ailfwyta,reingest,,v,\N,\N,\N,\N,1dg8tuq1
7155,ailfynegi,ailfynegi,retell,,v,\N,\N,\N,\N,1dg8uj7ad
7199,ailfywhau,ailfywhau,revivify,,v,\N,\N,\N,\N,1dg8utc1s
7219,ailfywio,ailfywio,revive,,v,\N,\N,\N,\N,1dg8utdk
