,topic,cy,en
69,Food and Drink,"Oes well gyda chi coffi, te, neu siocled poeth?","Do you prefer coffee, tea or hot chocolate?"
70,Food and Drink,Pa fath o fwyd ydych chi _ddim_ yn hoffi?,What kind of food do you dislike?
71,Hobbies & Free Time,Ydych chi'n darllen yn eich amser sbâr?,Do you read in your spare time?
72,Hobbies & Free Time,Wyt ti'n chwarae unrhyw chwaraeon?,Do you play any sports?
73,Hobbies & Free Time,Beth wyt ti'n hoffi gwneud yn dy amser hamdden?,What do you like to do in your free time?
74,Hobbies & Free Time,Dych chi'n hoffi garddio?,Do you like gardening?
75,Hobbies & Free Time,Beth dych chi'n gwneud ar y penwythnos?,What do you do at the weekend?
76,Hobbies & Free Time,Pa fath o gerddoriaeth dych chi'n hoffi gwrando arno?,What kind of music do you like?
77,Hobbies & Free Time,Oes yna hobi hoffech chi ddechrau?,Is there a hobby you would like to start?
78,Hobbies & Free Time,Oes hobi arbennig gyda chi?,Do you have a special hobby?
79,Hobbies & Free Time,Dych chi'n hoffi coginio?,Do you like cooking?
80,Hobbies & Free Time,Pa raglenni teledu dych chi'n hoffi?,What TV programmes do you like?
81,Hobbies & Free Time,Dych chi'n mynd i'r sinema'n aml?,Do you go to the cinema often?
82,Hobbies & Free Time,Dych chi'n hoffi chwaraeon?,Do you like sports?
83,Hobbies & Free Time,"Ydych chi'n chwarae offeryn? Os na, oes offeryn hoffech chi allu chwarae?","Do you play an instrument? If not, is there an instrument you'd like to be able to play?"
84,Introducing Yourself,Beth yw eich enw chi?,What’s your name?
85,Introducing Yourself,O ble dych chi'n dod?,Where do you come from?
86,Introducing Yourself,Sut byddech chi'n disgrifio'ch hun mewn 3 gair?,How would you describe yourself in 3 words?
87,Introducing Yourself,Faint yw eich oed chi?,How old are you?
88,Introducing Yourself,Ble dych chi'n byw?,Where do you live?
89,Introducing Yourself,Beth yw eich gwaith chi?,What is your job?
90,Introducing Yourself,Pam ydych chi'n dysgu Cymraeg?,Why are you learning Welsh?
91,Introducing Yourself,Oes unrhyw sgiliau arbennig gyda chi?,Do you have any special skills?
92,Introducing Yourself,Beth yw eich arwydd sidydd (zodiac sign)?,What is your zodiac sign?
93,Introducing Yourself,Pryd mae eich pen-blwydd?,When is your birthday?
94,Numbers,Am faint o'r gloch ydych chi'n codi yn y bore?,When do you wake up in the morning?
95,Numbers,Am faint o'r gloch ydych chi'n cael swper fel arfer?,When do you usually have dinner/supper?
96,Numbers,Pa oed fyddwch chi flwyddyn nesaf?,What age will you be next year?
97,Numbers,Pa rif yw eich ffefryn?,What number is your favourite?
98,Numbers,Beth ydy hanner pedwar deg?,What is half of forty?
99,Numbers,Faint o funudau sydd mewn dwy awr?,How many minutes are in two hours?
100,Numbers,Beth yw'r flwyddyn eleni?,What year is it?
101,Numbers,Beth yw 25% fel ffracsiwn?,What is 25% as a fraction??
102,Numbers,Faint yw dau ddeg lluosi pump?,What is twenty times five?
103,Numbers,Beth yw pump deg dau wedi'i adio at saith deg naw?,What is fifty-two added to seventy-nine?
104,Numbers,Beth yw'r dyddiad heddiw?,What is the date today?
105,Numbers,"Os mae afal ar werth am bump deg ceiniog yr un, faint byddai'n costio i brynu deg ohonyn nhw?","If an apple is on sale for 50p each, how much would it cost to buy ten of them?"
106,Numbers,Elli di gyfri o un i ddeg?,Can you count from one to ten?
107,Places in Town,Oes siop lyfrau yn dy dref?,Is there a bookshop in your town?
108,Places in Town,Ble yw'r lle agosaf lle gallwn i brynu bara?,Where is the closest place I could buy bread?
109,Places in Town,Ydy'r post yn agos?,Is the post office near?
110,Places in Town,Oes sinema yn y dref?,Is there a cinema in town?
111,Places in Town,Ble mae'r orsaf drenau?,Where is the train station?
112,Places in Town,Dych chi'n gwybod ble mae'r llyfrgell?,Do you know where the library is?
113,Places in Town,Ble mae'r banc?,Where is the bank?
114,Places in Town,Pa mor bell yw'r ganolfan siopa?,How far is the shopping centre?
115,Places in Town,Ble mae’r siop fwyaf?,Where is the biggest shop?
116,Places in Town,Wyt ti’n hoffi mynd i’r parc?,Do you go like going to the park?
117,Places in Town,Oes caffi da yma?,Is there a good café here?
118,Weather,Sut mae'r tywydd fel arfer ble rydych chi'n byw?,What's the weather usually like where you live?
119,Weather,Oes well gyda ti byw ble mae'n boeth neu ble mae'n oer?,Do you prefer living somewhere hot or somewhere cold?
120,Weather,Sut mae'r tywydd heddiw yn eich ardal chi?,How's the weather today where you are?
121,Weather,Pryd mae hi'n bwrw glaw fel arfer?,When does it usually rain?
122,Weather,Ydych chi'n hoffi mynd unrhywle yn arbennig pan mae'n heulog?,Do you like going anywhere in particular when it's sunny??
123,Weather,Pa fath o dywydd dych chi'n hoffi mwyaf?,What kind of weather do you like the most?
124,Weather,Beth ydych chi'n hoffi gwneud pan mae'n bwrw glaw?,What do you like to do when it's raining?
125,Weather,Beth ydych chi'n hoffi gwneud pan mae'n bwrw eira?,What do you like to do when it's snowing?
126,Weather,"Ydych chi erioed wedi bod mewn sefyllfa o dywydd eithafol (extreme weather), fel mewn storm neu lifog (flood)?","Have you ever been in a situation with extreme weather, like in a storm or flood?"
127,Weather,"Pa dymor yw dy ffefryn: gaeaf, gwanwyn, haf, neu hydref?","Which is your favourite season: winter, spring, summer or autumn?"
